                  创业板指 (399006)													
													
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   				
2017	4	21	11	25	1854.43	1854.62	1853.09	1853.64	51207	1854.03	1850.12	1842	           
2017	4	21	11	30	1853.5	1855.07	1853.21	1855.02	54202	1854.33	1850.18	1842.21	           
2017	4	21	13	5	1855.11	1855.79	1854.01	1854.31	51279	1854.67	1850.24	1842.42	           
2017	4	21	13	10	1854.13	1854.21	1853.12	1853.12	42645	1853.7	1850.33	1842.69	           
2017	4	21	13	15	1853.1	1853.1	1851.31	1851.73	56913	1852.42	1850.44	1842.93	           
2017	4	21	13	20	1851.64	1852.24	1850.69	1850.69	55566	1851.22	1850.56	1843.17	           
2017	4	21	13	25	1850.6	1850.76	1848.47	1849.03	91749	1849.86	1850.65	1843.42	           
2017	4	21	13	30	1849.05	1849.8	1848.85	1849.75	63908	1849.39	1850.78	1843.73	           
2017	4	21	13	35	1849.63	1849.8	1845.8	1845.82	100065	1847.78	1850.87	1843.96	           
2017	4	21	13	40	1845.77	1847.71	1845.46	1847.59	84036	1846.7	1850.95	1844.2	           
2017	4	21	13	45	1847.63	1847.8	1845.8	1846.31	67142	1846.95	1850.99	1844.41	           
2017	4	21	13	50	1846.3	1846.35	1844.05	1844.11	72169	1845.2	1850.96	1844.59	           
2017	4	21	13	55	1844.21	1846.48	1841.74	1846.48	110671	1845.3	1850.96	1844.79	           
2017	4	21	14	0	1846.38	1848.17	1846.38	1847.67	76146	1847.08	1850.91	1845	           
2017	4	21	14	5	1847.61	1847.71	1846.25	1846.43	61418	1847.05	1850.81	1845.22	           
2017	4	21	14	10	1846.47	1846.6	1843.16	1843.16	78182	1844.8	1850.72	1845.44	           
2017	4	21	14	15	1843.45	1843.95	1840.82	1840.84	86317	1842	1850.6	1845.6	           
2017	4	21	14	20	1840.76	1843.98	1840.64	1843.55	85483	1842.2	1850.59	1845.78	           
2017	4	21	14	25	1843.61	1843.75	1842.67	1842.67	71058	1843.11	1850.57	1845.91	           
2017	4	21	14	30	1842.67	1842.67	1841.07	1841.54	84188	1842.09	1850.53	1846.02	           
2017	4	21	14	35	1841.43	1842.21	1840.58	1840.84	82094	1841.19	1850.57	1846.12	           
2017	4	21	14	40	1840.72	1840.84	1839.1	1839.7	103804	1840.28	1850.55	1846.22	           
2017	4	21	14	45	1839.66	1841.2	1839.41	1841.19	111764	1840.45	1850.58	1846.35	           
2017	4	21	14	50	1841.13	1842.37	1840.76	1840.76	139521	1840.97	1850.63	1846.47	           
2017	4	21	14	55	1840.91	1840.91	1836.52	1836.97	206473	1838.86	1850.55	1846.56	           
2017	4	21	15	0	1837.24	1839.01	1837.14	1839.01	174819	1837.98	1850.49	1846.69	           
2017	4	24	9	35	1832.82	1832.82	1819.89	1819.89	349259	1829.45	1850.06	1846.66	           
